Date Vps1 Ips1 Vps2 Ips2
2019-03-21 16:03:24.399000 0.8 0.024 0.52 0.02
2019-03-21 16:03:32.389000 0.8 0.024 0.52 0.02
2019-03-21 16:03:40.329000 0.8 0.024 0.52 0.02
2019-03-21 16:03:48.149000 0.8 0.024 0.52 0.02
2019-03-21 16:03:55.939000 0.8 0.024 0.52 0.02
2019-03-21 16:04:03.829000 0.8 0.024 0.52 0.02
2019-03-21 16:04:11.729000 0.8 0.024 0.52 0.02
2019-03-21 16:04:19.659000 0.8 0.024 0.52 0.02
2019-03-21 16:04:27.489000 0.8 0.024 0.52 0.02
2019-03-21 16:04:35.379000 0.8 0.024 0.52 0.02
2019-03-21 16:04:43.219000 0.8 0.024 0.52 0.02
2019-03-21 16:04:51.139000 0.8 0.024 0.52 0.02
2019-03-21 16:04:58.969000 0.8 0.024 0.52 0.02
2019-03-21 16:05:06.809000 0.8 0.024 0.52 0.02
2019-03-21 16:05:14.639000 0.8 0.024 0.52 0.02
2019-03-21 16:05:22.579000 0.8 0.024 0.52 0.02
2019-03-21 16:05:30.639000 0.8 0.024 0.52 0.02
2019-03-21 16:05:38.459000 0.8 0.024 0.52 0.02
2019-03-21 16:05:46.480000 0.8 0.024 0.52 0.02
2019-03-21 16:05:54.410000 0.8 0.024 0.52 0.02
2019-03-21 16:06:02.360000 0.8 0.024 0.52 0.02
2019-03-21 16:06:10.270000 0.8 0.024 0.52 0.02
2019-03-21 16:06:18.120000 0.8 0.024 0.52 0.02
2019-03-21 16:06:25.950000 0.8 0.024 0.52 0.02
2019-03-21 16:06:33.830000 0.8 0.024 0.52 0.02
2019-03-21 16:06:41.680000 0.8 0.024 0.52 0.02
2019-03-21 16:06:49.530000 0.8 0.024 0.52 0.02
2019-03-21 16:06:57.330000 0.8 0.024 0.52 0.02
2019-03-21 16:07:05.210000 0.8 0.024 0.52 0.02
2019-03-21 16:07:13.230000 0.8 0.024 0.52 0.02
2019-03-21 16:07:21.130000 0.8 0.024 0.52 0.02
2019-03-21 16:07:28.930000 0.8 0.024 0.52 0.02
2019-03-21 16:07:36.850000 0.8 0.024 0.52 0.02
2019-03-21 16:07:44.770000 0.8 0.024 0.52 0.02
2019-03-21 16:07:52.630000 0.8 0.024 0.52 0.02
2019-03-21 16:08:00.510000 0.8 0.024 0.52 0.02
2019-03-21 16:08:08.430000 0.8 0.024 0.52 0.02
2019-03-21 16:08:16.320000 0.8 0.024 0.52 0.02
2019-03-21 16:08:24.180000 0.8 0.024 0.52 0.02
2019-03-21 16:08:32.100000 0.8 0.024 0.52 0.02
2019-03-21 16:08:39.980000 0.8 0.024 0.52 0.02
2019-03-21 16:08:47.860000 0.8 0.024 0.52 0.02
Date Vps1 Ips1 Vps2 Ips2
2019-03-21 16:10:41.860000 0.8 0.024 0.52 0.02
2019-03-21 16:10:41.860000 0.8 0.024 0.52 0.02
2019-03-21 16:10:49.650000 0.8 0.024 0.52 0.02
2019-03-21 16:10:57.420000 0.8 0.024 0.52 0.02
2019-03-21 16:11:05.200000 0.8 0.024 0.52 0.02
Date Vps1 Ips1 Vps2 Ips2
2019-03-21 16:11:32.480000 0.8 0.024 0.52 0.02
2019-03-21 16:11:37.590000 0.8 0.024 0.52 0.02
2019-03-21 16:11:45.430000 0.8 0.024 0.52 0.02
2019-03-21 16:11:53.270000 0.8 0.024 0.52 0.02
2019-03-21 16:12:01.070000 0.8 0.024 0.52 0.02
2019-03-21 16:12:08.910000 0.8 0.024 0.52 0.02
2019-03-21 16:12:16.720000 0.8 0.024 0.52 0.02
2019-03-21 16:12:24.550000 0.8 0.024 0.52 0.02
2019-03-21 16:12:32.470000 0.8 0.024 0.52 0.02
2019-03-21 16:12:40.320000 0.8 0.024 0.52 0.02
2019-03-21 16:12:48.170000 0.8 0.024 0.52 0.02
2019-03-21 16:12:56.160000 0.8 0.024 0.52 0.02
2019-03-21 16:13:04.020000 0.8 0.024 0.52 0.02
2019-03-21 16:13:11.870000 0.8 0.024 0.52 0.02
2019-03-21 16:13:19.660000 0.8 0.024 0.52 0.02
2019-03-21 16:13:27.640000 0.8 0.024 0.52 0.02
2019-03-21 16:13:35.490000 0.8 0.024 0.52 0.02
2019-03-21 16:13:43.360000 0.8 0.024 0.52 0.02
2019-03-21 16:13:51.310000 0.8 0.024 0.52 0.02
2019-03-21 16:13:59.230000 0.8 0.024 0.52 0.02
2019-03-21 16:14:07.200000 0.8 0.024 0.52 0.02
2019-03-21 16:14:15.090000 0.8 0.024 0.52 0.02
2019-03-21 16:14:23.080000 0.8 0.024 0.52 0.02
2019-03-21 16:14:31.130000 0.8 0.024 0.52 0.02
2019-03-21 16:14:39.190000 0.8 0.024 0.52 0.02
2019-03-21 16:14:47.170000 0.8 0.024 0.52 0.02
Date Vps1 Ips1 Vps2 Ips2
2019-03-21 16:47:32.121000 0.8 0.024 0.52 0.02
2019-03-21 16:47:37.241000 0.8 0.024 0.52 0.02
2019-03-21 16:47:45.041000 0.8 0.024 0.52 0.02
2019-03-21 16:47:52.931000 0.8 0.024 0.52 0.02
2019-03-21 16:48:00.741000 0.8 0.024 0.52 0.02
2019-03-21 16:48:08.531000 0.8 0.024 0.52 0.02
2019-03-21 16:48:16.451000 0.8 0.024 0.52 0.02
2019-03-21 16:48:24.261000 0.8 0.024 0.52 0.02
2019-03-21 16:48:32.171000 0.8 0.024 0.52 0.02
2019-03-21 16:48:40.011000 0.8 0.024 0.52 0.02
2019-03-21 16:48:47.861000 0.8 0.024 0.52 0.02
2019-03-21 16:48:55.693000 0.8 0.024 0.52 0.02
2019-03-21 16:49:03.503000 0.8 0.024 0.52 0.02
2019-03-21 16:49:11.335000 0.8 0.024 0.52 0.02
2019-03-21 16:49:19.157000 0.8 0.024 0.52 0.02
2019-03-21 16:49:27.037000 0.8 0.024 0.52 0.02
2019-03-21 16:49:34.957000 0.8 0.024 0.52 0.02
2019-03-21 16:49:42.849000 0.8 0.024 0.52 0.02
2019-03-21 16:49:50.699000 0.8 0.024 0.52 0.02
2019-03-21 16:49:58.669000 0.8 0.024 0.52 0.02
2019-03-21 16:50:06.629000 0.8 0.024 0.52 0.02
2019-03-21 16:50:14.589000 0.8 0.024 0.52 0.02
2019-03-21 16:50:22.569000 0.8 0.024 0.52 0.02
2019-03-21 16:50:30.549000 0.8 0.024 0.52 0.02
2019-03-21 16:50:38.419000 0.8 0.024 0.52 0.02
2019-03-21 16:50:46.409000 0.8 0.024 0.52 0.02
2019-03-21 16:50:54.319000 0.8 0.024 0.52 0.02
2019-03-21 16:51:02.299000 0.8 0.024 0.52 0.02
2019-03-21 16:51:10.149000 0.8 0.024 0.52 0.02
